tweet_id,fav_count,retweet_count
673956914389192708,2022,1027
674008982932058114,1242,373
674014384960745472,1628,689
674019345211760640,1174,319
674024893172875264,1860,1303
674036086168010753,872,232
674038233588723717,1140,434
674042553264685056,747,136
674045139690631169,1468,682
674051556661161984,1507,509
674053186244734976,3461,1388
674063288070742018,6615,2370
674075285688614912,1015,304
674082852460433408,779,180
674255168825880576,1521,598
674262580978937856,1349,488
674265582246694913,1703,897
674269164442398721,931,242
674271431610523648,1630,772
674291837063053312,15364,6298
674307341513269249,11794,7386
674318007229923329,1469,550
674330906434379776,582,77
674372068062928900,879,328
674394782723014656,1556,611
674410619106390016,1242,498
674416750885273600,707,148
674422304705744896,1485,564
674436901579923456,1158,418
674447403907457024,1103,379
674468880899788800,6475,2201
674606911342424069,979,106
674632714662858753,1558,612
674638615994089473,1741,620
674644256330530816,1071,293
674646392044941312,1493,534
674664755118911488,958,270
674670581682434048,1684,693
674690135443775488,1194,498
674737130913071104,670,99
674739953134403584,1165,420
674742531037511680,512,54
674743008475090944,1461,585
674752233200820224,1524,495
674754018082705410,1415,479
674764817387900928,821,254
674767892831932416,1913,855
674774481756377088,1180,510
674781762103414784,2096,1292
674788554665512960,841,221
674790488185167872,1147,270
674793399141146624,2618,1168
674800520222154752,3135,919
674805413498527744,895,379
674999807681908736,2350,1183
675003128568291329,1616,504
675006312288268288,1020,242
675015141583413248,2827,1279
675047298674663426,1103,351
675109292475830276,2915,1209
675111688094527488,1006,269
675113801096802304,2042,836
675135153782571009,1356,528
675145476954566656,2231,965
675146535592706048,1247,332
675147105808306176,985,258
675149409102012420,3907,1802
675153376133427200,6587,2796
675166823650848770,3786,1734
675334060156301312,2909,1384
675349384339542016,4117,2428
675354435921575936,34305,18381
675362609739206656,1097,245
675372240448454658,1790,543
675432746517426176,1592,609
675483430902214656,1931,1042
675489971617296384,1356,639
675497103322386432,3290,1392
675501075957489664,17971,6240
675517828909424640,1373,489
675522403582218240,1085,307
675531475945709568,1237,413
675534494439489536,1899,450
675706639471788032,673,103
675707330206547968,2087,743
675710890956750848,1985,895
675740360753160193,1217,372
675781562965868544,1691,511
675798442703122432,10770,3642
675820929667219457,1099,246
675822767435051008,1602,572
675845657354215424,2397,959
675849018447167488,990,164
675853064436391936,2825,1401
675870721063669760,1727,610
675878199931371520,4394,1512
675888385639251968,2501,1036
675891555769696257,2233,943
675898130735476737,1718,622
676089483918516224,1377,462
676098748976615425,3171,1553
676101918813499392,2949,1246
676121918416756736,2253,1254
676146341966438401,2014,720
676191832485810177,2396,1106
676215927814406144,1831,634
676219687039057920,78898,33551
676237365392908289,1283,318
676263575653122048,2179,588
676430933382295552,1467,373
676440007570247681,1810,724
676470639084101634,12244,5047
676496375194980353,1595,576
676533798876651520,1978,600
676575501977128964,2725,1213
676582956622721024,1268,305
676588346097852417,2463,864
676590572941893632,972,138
676593408224403456,4826,2330
676603393314578432,1232,422
676606785097199616,1984,474
676613908052996102,1147,209
676617503762681856,3055,1063
676776431406465024,5259,2173
676811746707918848,1496,457
676819651066732545,1899,718
676821958043033607,24348,16903
676864501615042560,2221,779
676897532954456065,2373,785
676916996760600576,3133,1940
676936541936185344,13423,5319
676942428000112642,2196,826
676946864479084545,1794,409
676948236477857792,2296,945
676949632774234114,1370,428
676957860086095872,2327,876
676975532580409345,2930,1159
677187300187611136,2884,994
677228873407442944,3741,1768
677269281705472000,2096,764
677301033169788928,1314,448
677314812125323265,1740,585
677328882937298944,3840,1627
677331501395156992,1147,257
677334615166730240,1432,320
677335745548390400,3227,1940
677530072887205888,1126,243
677547928504967168,7337,3941
677557565589463040,2572,1265
677565715327688705,1360,495
677573743309385728,2261,794
677644091929329666,1986,866
677662372920729601,2065,1058
677673981332312066,3534,1624
677687604918272002,2616,913
